Timestamp	Type	X	Y	Z
140712682	ACC	-2.4396915	5.3378725	8.300697
140712693	ACC	-1.5574282	5.7269306	7.929596
140712702	ACC	-0.94092125	5.7400985	7.8158712
140712713	ACC	-0.35434186	5.4504004	7.478289
140712723	ACC	0.20111294	5.2444987	6.789956
140712732	ACC	1.2126632	5.044583	5.6299653
140712741	ACC	1.9895816	4.699818	4.322731
140712752	ACC	2.1918917	4.663905	3.727772
140712761	ACC	1.543063	4.7788267	3.9228995
140712773	ACC	0.45489833	5.3833623	4.2700586
140712781	ACC	-0.31603462	6.093243	4.6279917
140712793	ACC	-0.08379706	6.4631476	4.6938324
140712802	ACC	0.62847793	6.5708866	4.8267107
140712813	ACC	1.1444284	6.126762	4.9895163
140712822	ACC	1.3922282	5.813122	5.554548
140712833	ACC	1.6579847	5.6299653	5.9783216
140712842	ACC	1.6759412	6.041768	6.2021794
140712852	ACC	1.3754689	7.076063	6.0681043
140712855	ACC	1.3754689	7.076063	6.0681043
140712862	ACC	0.92176765	7.807492	5.697003
140712872	ACC	-0.50517654	9.032125	5.3043537
140712881	ACC	-1.8710686	10.382456	4.698621
140712892	ACC	-2.4361002	11.314998	4.52145
140712901	ACC	-2.3930047	11.7387705	4.373009
140712913	ACC	-1.887828	11.739968	4.368221
140712922	ACC	-1.7645266	11.887212	4.253299
140712932	ACC	-1.7058687	11.792641	3.9791632
140712936	ACC	-1.7058687	11.792641	3.9791632
140712941	ACC	-1.2617443	11.279084	3.620033
140712952	ACC	-0.61650693	10.327389	3.5901055
140712961	ACC	-0.4249708	9.932345	3.7002387
140712973	ACC	0.023942016	9.646238	3.4141316
140712982	ACC	-0.05626374	8.825027	2.814384
140712992	ACC	0.6452374	6.977901	2.147599
140713001	ACC	2.4720132	4.283227	2.5462334
140713013	ACC	3.6415808	2.7832594	2.682703
140713022	ACC	3.3423057	2.7521348	2.585738
140713033	ACC	0.9648633	4.0043025	3.8630445
140713042	ACC	-1.1755531	4.935647	5.2026005
140713053	ACC	-1.7764976	4.9799395	5.625177
140713062	ACC	-4.373009	1.8483237	13.281834
140713073	ACC	-18.75857	-5.412093	31.1342
140713082	ACC	-10.637438	-4.214992	26.708517
140713093	ACC	2.7880478	0.6476316	13.423092
140713102	ACC	7.410054	0.08738836	4.2640734
140713113	ACC	5.7748146	-0.48722005	2.670732
140713122	ACC	2.823961	2.267309	4.7189717
140713133	ACC	-1.1731589	5.3845596	7.5824366
140713142	ACC	-3.4033577	6.841431	8.395268
140713153	ACC	-3.6463692	7.4723034	8.605958
140713162	ACC	-3.5853171	7.8529816	8.455123
140713173	ACC	-2.2517467	9.029732	7.8170686
140713182	ACC	-1.8483237	8.640674	7.7488337
140713193	ACC	-1.8327614	8.421604	6.0621185
140713202	ACC	-1.5777789	8.643068	1.9596541
140713213	ACC	-1.3634979	6.528988	1.3730747
140713222	ACC	-1.3263878	4.024653	1.9512744
140713233	ACC	-5.3462524	-1.1623849	13.352463
140713242	ACC	-6.339846	-5.8466406	19.34036
140713253	ACC	-0.40102878	-6.993463	12.678495
140713265	ACC	0.5614403	-7.025785	13.790602
140713273	ACC	-1.816002	-4.2413282	10.582372
140713282	ACC	-3.9336734	-0.2669535	6.847417
140713293	ACC	-4.378995	2.7497406	7.064092
